国家代码,IP数量,自定义IP数量,平均延迟(ms),平均速度(Mbps)
US,130,77,25.39,12.60
CA,22,8,15.99,12.30
RU,4,4,12.92,13.04
GB,7,5,9.65,15.52
CW,1,1,9.65,10.80
SE,4,4,10.77,13.20
CR,5,0,10.58,14.92
HK,5,5,9.54,15.30
MX,1,1,12.15,7.19
FI,2,2,11.80,13.55
CY,15,15,12.00,13.33
BZ,1,1,10.51,9.83
KZ,4,4,11.35,16.39
VG,6,6,10.29,12.41
AU,2,2,11.88,10.58
PH,1,1,12.11,10.34
HU,1,1,19.20,10.24
MT,3,3,9.70,11.21
BE,1,1,8.18,12.47
NL,2,2,12.81,12.78
PA,2,2,12.52,13.85
IE,2,2,13.28,16.08
DE,4,4,9.54,14.67
SG,3,3,19.40,15.54
ES,1,1,11.11,18.14
FR,1,1,7.81,19.79
