IP,延迟(ms),丢包率(%),速度(Mbps),国家代码,来源,排名
172.66.138.156,8.05,0.00,18.88,US,CLOUDFLARE,1
195.245.221.73,8.42,0.00,11.81,KZ,CUSTOM,2
141.101.113.82,8.61,0.00,19.57,US,CUSTOM,3
185.251.81.82,8.90,0.00,9.75,ES,CUSTOM,4
203.22.241.56,8.95,0.00,17.52,GB,CUSTOM,5
162.159.6.221,9.06,0.00,8.90,CA,CLOUDFLARE,6
162.159.15.229,9.07,0.00,13.56,US,CLOUDFLARE,7
199.60.103.95,9.08,0.00,12.95,US,CUSTOM,8
108.162.193.31,9.19,0.00,8.01,US,CLOUDFLARE,9
190.93.245.71,9.19,0.00,9.00,CR,CLOUDFLARE,10
143.20.247.161,9.22,0.00,10.69,HK,CUSTOM,11
141.101.121.95,9.32,0.00,8.91,US,CLOUDFLARE,12
173.245.49.159,9.60,0.00,8.31,US,CLOUDFLARE,13
104.24.46.241,9.61,0.00,8.60,US,CLOUDFLARE,14
173.245.49.127,9.61,0.00,9.49,US,CUSTOM,15
198.217.251.101,9.66,0.00,13.80,US,CUSTOM,16
104.21.210.56,9.76,0.00,16.96,US,CLOUDFLARE,17
213.182.199.136,9.76,0.00,8.13,ES,CUSTOM,18
158.94.212.238,9.79,0.00,10.87,NL,CUSTOM,19
194.113.223.8,9.89,0.00,12.40,LT,CUSTOM,20
172.64.68.67,9.96,0.00,9.78,US,CUSTOM,21
198.41.211.146,9.97,0.00,18.94,US,CUSTOM,22
188.42.98.121,9.98,0.00,19.43,NL,CUSTOM,23
172.66.171.43,9.98,0.00,15.64,US,CUSTOM,24
162.159.2.220,10.01,0.00,11.73,CA,CLOUDFLARE,25
162.159.224.134,10.01,0.00,10.37,US,CUSTOM,26
154.207.189.61,10.02,0.00,17.12,HK,CUSTOM,27
196.13.241.218,10.08,0.00,10.15,ZA,CUSTOM,28
203.24.108.88,10.14,0.00,9.80,CY,CUSTOM,29
104.26.2.114,10.17,0.00,12.40,US,CUSTOM,30
185.207.196.201,10.20,0.00,9.48,AU,CUSTOM,31
104.24.94.193,10.20,0.00,17.68,US,CLOUDFLARE,32
172.67.212.68,10.20,0.00,17.14,US,CUSTOM,33
104.25.201.193,10.21,0.00,9.19,US,CLOUDFLARE,34
172.67.179.148,10.26,0.00,8.69,US,CUSTOM,35
104.25.88.120,10.26,0.00,9.83,US,CLOUDFLARE,36
190.93.247.217,10.31,0.00,19.34,CR,CLOUDFLARE,37
154.81.141.224,10.33,0.00,12.76,SG,CUSTOM,38
104.25.206.230,10.34,0.00,16.99,US,CLOUDFLARE,39
104.25.233.231,10.34,0.00,10.91,US,CLOUDFLARE,40
104.26.9.157,10.36,0.00,10.25,US,CUSTOM,41
185.7.240.238,10.48,0.00,9.92,NL,CUSTOM,42
104.27.202.26,10.51,0.00,18.97,US,CUSTOM,43
196.13.241.11,10.53,0.00,9.12,ZA,CUSTOM,44
172.67.231.226,10.54,0.00,17.67,US,CUSTOM,45
172.66.136.49,10.54,0.00,9.80,CA,CUSTOM,46
172.66.216.157,10.55,0.00,10.12,US,CUSTOM,47
192.71.82.243,10.65,0.00,8.63,SE,CUSTOM,48
185.18.184.40,10.66,0.00,9.59,NL,CUSTOM,49
192.133.11.173,10.71,0.00,16.00,US,CUSTOM,50
104.27.53.152,10.75,0.00,8.36,US,CLOUDFLARE,51
172.64.155.218,10.79,0.00,9.30,CA,CLOUDFLARE,52
192.71.82.50,10.81,0.00,10.49,SE,CUSTOM,53
104.25.2.46,10.83,0.00,19.53,US,CUSTOM,54
104.27.197.162,10.84,0.00,10.06,US,CUSTOM,55
104.27.31.216,10.86,0.00,10.71,US,CLOUDFLARE,56
103.31.4.247,10.95,0.00,9.34,US,CLOUDFLARE,57
173.245.58.90,10.98,0.00,8.41,US,CLOUDFLARE,58
198.41.211.16,10.98,0.00,17.88,US,CUSTOM,59
195.85.23.36,11.01,0.00,8.74,CZ,CUSTOM,60
108.162.192.255,11.04,0.00,11.89,CA,CLOUDFLARE,61
203.23.106.209,11.05,0.00,10.58,CY,CUSTOM,62
216.163.179.63,11.07,0.00,8.68,CW,CUSTOM,63
103.31.4.213,11.08,0.00,16.07,US,CLOUDFLARE,64
104.25.210.200,11.09,0.00,16.37,US,CLOUDFLARE,65
194.41.114.226,11.12,0.00,10.62,UA,CUSTOM,66
195.85.59.93,11.14,0.00,12.20,CY,CUSTOM,67
216.198.54.125,11.19,0.00,10.33,US,CUSTOM,68
193.9.49.232,11.20,0.00,20.46,DE,CUSTOM,69
143.20.247.155,11.21,0.00,10.48,HK,CUSTOM,70
192.65.217.103,11.21,0.00,7.67,AU,CUSTOM,71
172.66.166.219,11.23,0.00,8.52,US,CUSTOM,72
104.18.234.115,11.23,0.00,8.87,US,CLOUDFLARE,73
104.25.6.5,11.25,0.00,10.65,US,CLOUDFLARE,74
198.202.211.109,11.31,0.00,14.56,US,CUSTOM,75
217.180.22.143,11.33,0.00,9.77,AU,CUSTOM,76
162.159.14.136,11.35,0.00,9.63,US,CUSTOM,77
199.181.197.115,11.36,0.00,9.04,US,CUSTOM,78
162.159.48.167,11.39,0.00,18.28,US,CUSTOM,79
172.66.173.9,11.41,0.00,16.76,US,CLOUDFLARE,80
216.163.179.58,11.41,0.00,11.10,CW,CUSTOM,81
198.41.200.195,11.44,0.00,19.51,US,CUSTOM,82
104.24.82.54,11.46,0.00,17.51,US,CLOUDFLARE,83
172.64.72.97,11.47,0.00,10.02,US,CUSTOM,84
198.177.57.201,11.47,0.00,19.79,DE,CUSTOM,85
151.246.217.219,11.49,0.00,13.44,GB,CUSTOM,86
158.94.212.106,11.50,0.00,10.12,NL,CUSTOM,87
172.64.235.5,11.57,0.00,11.30,US,CUSTOM,88
162.159.242.247,11.57,0.00,9.47,US,CLOUDFLARE,89
162.159.224.206,11.60,0.00,10.29,US,CUSTOM,90
104.19.176.85,11.62,0.00,11.23,US,CLOUDFLARE,91
199.181.197.243,11.68,0.00,8.22,US,CUSTOM,92
173.245.59.190,11.70,0.00,9.02,US,CLOUDFLARE,93
104.24.192.42,11.71,0.00,11.41,US,CUSTOM,94
192.65.217.174,11.74,0.00,9.70,AU,CUSTOM,95
172.67.123.128,11.77,0.00,8.57,CA,CUSTOM,96
198.41.214.38,11.81,0.00,8.71,US,CLOUDFLARE,97
198.41.206.51,11.86,0.00,17.07,US,CLOUDFLARE,98
198.41.194.12,11.90,0.00,9.09,CA,CUSTOM,99
162.159.34.75,11.95,0.00,17.13,US,CUSTOM,100
194.53.53.136,11.95,0.00,19.94,SG,CUSTOM,101
173.245.49.134,11.96,0.00,16.23,US,CUSTOM,102
104.24.234.163,12.00,0.00,16.69,US,CLOUDFLARE,103
162.159.206.97,12.11,0.00,20.23,US,CUSTOM,104
104.17.97.9,12.13,0.00,9.59,US,CLOUDFLARE,105
104.25.74.34,12.21,0.00,18.48,US,CLOUDFLARE,106
104.24.183.196,12.22,0.00,11.34,US,CLOUDFLARE,107
170.168.7.161,12.24,0.00,17.57,CW,CUSTOM,108
162.159.135.150,12.24,0.00,15.81,US,CUSTOM,109
156.224.73.217,12.28,0.00,8.90,HK,CUSTOM,110
104.18.141.12,12.34,0.00,8.74,US,CLOUDFLARE,111
172.66.195.88,12.39,0.00,9.19,US,CLOUDFLARE,112
172.66.44.210,12.39,0.00,11.64,US,CUSTOM,113
205.233.181.136,12.40,0.00,8.70,US,CUSTOM,114
162.159.34.239,12.41,0.00,8.19,CA,CLOUDFLARE,115
199.181.197.219,12.41,0.00,8.57,US,CUSTOM,116
198.41.193.174,12.42,0.00,16.95,US,CLOUDFLARE,117
172.64.148.139,12.43,0.00,8.85,CA,CUSTOM,118
104.27.13.39,12.43,0.00,9.48,US,CLOUDFLARE,119
154.81.141.161,12.44,0.00,10.16,SG,CUSTOM,120
104.25.209.219,12.46,0.00,15.39,US,CLOUDFLARE,121
154.207.253.168,12.56,0.00,10.44,HK,CUSTOM,122
156.243.83.218,12.56,0.00,8.69,PT,CUSTOM,123
162.159.247.211,12.58,0.00,9.54,US,CUSTOM,124
193.9.49.27,12.63,0.00,9.49,DE,CUSTOM,125
203.55.107.201,12.63,0.00,9.40,VG,CUSTOM,126
104.19.40.226,12.65,0.00,9.49,US,CLOUDFLARE,127
109.234.211.75,12.65,0.00,11.97,ES,CUSTOM,128
143.20.247.112,12.67,0.00,8.45,HK,CUSTOM,129
193.202.90.121,12.67,0.00,13.28,IE,CUSTOM,130
193.227.99.65,12.71,0.00,8.33,NL,CUSTOM,131
162.159.245.36,12.75,0.00,12.27,US,CUSTOM,132
188.42.98.201,12.79,0.00,8.80,NL,CUSTOM,133
203.30.188.225,12.79,0.00,19.67,CY,CUSTOM,134
193.124.18.37,12.83,0.00,12.11,HU,CUSTOM,135
104.25.61.23,12.98,0.00,19.67,US,CLOUDFLARE,136
172.66.45.156,13.16,0.00,19.39,US,CUSTOM,137
172.66.176.185,13.17,0.00,9.16,US,CUSTOM,138
195.13.44.230,13.18,0.00,19.99,US,CUSTOM,139
104.17.38.108,13.22,0.00,12.78,US,CLOUDFLARE,140
109.234.211.233,13.23,0.00,19.52,ES,CUSTOM,141
104.26.3.75,13.25,0.00,9.13,US,CUSTOM,142
104.18.13.150,13.25,0.00,8.61,US,CLOUDFLARE,143
162.159.48.119,13.30,0.00,7.96,US,CUSTOM,144
173.245.58.91,13.31,0.00,15.07,US,CLOUDFLARE,145
104.25.225.204,13.32,0.00,9.98,US,CLOUDFLARE,146
199.60.103.37,13.33,0.00,16.03,US,CUSTOM,147
217.180.22.96,13.39,0.00,10.74,AU,CUSTOM,148
173.245.49.168,13.47,0.00,10.51,US,CLOUDFLARE,149
104.24.247.223,13.48,0.00,9.88,US,CLOUDFLARE,150
193.9.49.158,13.57,0.00,9.32,RU,CUSTOM,151
193.124.224.73,13.60,0.00,9.95,US,CUSTOM,152
104.21.202.10,13.63,0.00,11.15,US,CLOUDFLARE,153
194.53.53.167,13.64,0.00,8.38,SG,CUSTOM,154
104.16.236.101,13.64,0.00,19.51,US,CLOUDFLARE,155
203.22.223.203,13.72,0.00,12.43,CY,CUSTOM,156
104.18.80.6,13.76,0.00,9.78,US,CUSTOM,157
104.18.167.116,13.80,0.00,8.43,US,CLOUDFLARE,158
154.207.127.25,13.84,0.00,10.53,HK,CUSTOM,159
148.227.167.123,13.86,0.00,9.74,PA,CUSTOM,160
217.180.22.35,13.88,0.00,11.37,AU,CUSTOM,161
185.251.80.205,13.99,0.00,7.49,ES,CUSTOM,162
104.25.16.155,13.99,0.00,17.77,US,CUSTOM,163
172.66.172.62,14.04,0.00,11.67,CA,CUSTOM,164
198.41.215.147,14.16,0.00,7.56,US,CLOUDFLARE,165
190.93.246.93,14.20,0.00,9.46,CR,CLOUDFLARE,166
190.93.244.109,14.24,0.00,8.97,CR,CLOUDFLARE,167
192.71.82.85,14.26,0.00,10.01,SE,CUSTOM,168
162.159.252.59,14.28,0.00,11.21,US,CLOUDFLARE,169
162.159.252.203,14.34,0.00,17.29,US,CLOUDFLARE,170
109.234.211.28,14.37,0.00,8.23,ES,CUSTOM,171
162.159.10.29,14.47,0.00,8.64,US,CLOUDFLARE,172
203.22.223.249,14.47,0.00,8.37,CY,CUSTOM,173
104.17.248.7,14.52,0.00,8.67,US,CLOUDFLARE,174
104.27.14.129,14.54,0.00,8.51,US,CLOUDFLARE,175
203.28.8.13,14.57,0.00,10.85,CY,CUSTOM,176
185.146.173.226,14.58,0.00,10.15,SE,CUSTOM,177
104.19.110.50,14.60,0.00,15.44,US,CLOUDFLARE,178
198.41.214.217,14.60,0.00,12.36,US,CLOUDFLARE,179
188.114.96.181,14.63,0.00,10.79,US,CLOUDFLARE,180
205.233.181.230,14.77,0.00,7.99,US,CUSTOM,181
104.25.135.19,14.82,0.00,17.26,US,CLOUDFLARE,182
185.133.172.184,14.86,0.00,11.88,CR,CUSTOM,183
162.159.236.134,14.87,0.00,19.21,US,CLOUDFLARE,184
104.18.85.234,14.92,0.00,20.31,US,CLOUDFLARE,185
198.217.251.159,15.02,0.00,9.05,US,CUSTOM,186
203.22.241.1,15.34,0.00,19.57,GB,CUSTOM,187
213.241.198.12,15.94,0.00,9.21,RU,CUSTOM,188
192.65.217.109,16.03,0.00,14.69,AU,CUSTOM,189
162.159.212.57,16.12,0.00,12.18,US,CUSTOM,190
104.21.26.66,16.67,0.00,9.17,US,CUSTOM,191
198.41.209.55,16.73,0.00,10.12,CA,CUSTOM,192
108.162.193.92,16.73,0.00,18.59,US,CLOUDFLARE,193
104.19.198.170,16.76,0.00,8.89,US,CLOUDFLARE,194
159.242.242.204,16.84,0.00,17.56,US,CUSTOM,195
172.67.71.221,17.07,0.00,20.19,US,CLOUDFLARE,196
172.65.194.109,17.25,0.00,8.71,CA,CLOUDFLARE,197
173.245.59.151,17.40,0.00,10.12,CA,CLOUDFLARE,198
104.26.13.136,17.47,0.00,20.16,US,CUSTOM,199
203.24.102.129,17.49,0.00,9.47,VG,CUSTOM,200
104.16.182.0,17.49,0.00,8.34,US,CLOUDFLARE,201
172.66.2.112,17.53,0.00,8.63,US,CUSTOM,202
104.19.73.124,17.66,0.00,10.37,US,CLOUDFLARE,203
154.193.133.53,18.01,0.00,13.50,DE,CUSTOM,204
104.17.160.253,18.23,0.00,8.96,US,CLOUDFLARE,205
156.224.73.253,18.28,0.00,9.27,HK,CUSTOM,206
216.198.54.197,18.42,0.00,19.67,US,CUSTOM,207
141.101.114.55,18.57,0.00,8.53,US,CLOUDFLARE,208
172.66.211.169,18.66,0.00,11.15,US,CUSTOM,209
172.64.144.43,18.88,0.00,8.38,US,CUSTOM,210
108.162.192.175,19.09,0.00,8.39,US,CLOUDFLARE,211
104.18.146.245,19.11,0.00,9.66,US,CLOUDFLARE,212
194.113.223.249,19.17,0.00,8.43,LT,CUSTOM,213
213.182.199.249,19.44,0.00,9.30,ES,CUSTOM,214
198.41.204.8,19.70,0.00,20.48,US,CLOUDFLARE,215
104.16.135.150,19.79,0.00,10.01,US,CLOUDFLARE,216
104.17.150.206,19.96,0.00,20.34,US,CLOUDFLARE,217
172.64.96.144,20.37,0.00,10.83,US,CLOUDFLARE,218
158.94.212.118,20.49,0.00,9.44,GB,CUSTOM,219
104.26.2.90,21.24,0.00,9.60,US,CUSTOM,220
154.81.141.192,21.53,0.00,12.31,SG,CUSTOM,221
212.22.76.71,22.67,0.00,19.37,RU,CUSTOM,222
104.25.2.54,22.82,0.00,9.99,US,CLOUDFLARE,223
188.114.96.246,23.43,0.00,8.58,US,CLOUDFLARE,224
196.13.241.157,23.50,0.00,8.91,ZA,CUSTOM,225
141.101.123.245,24.35,0.00,10.30,US,CLOUDFLARE,226
104.21.106.17,24.47,0.00,7.75,US,CUSTOM,227
193.9.49.10,25.10,0.00,20.42,DE,CUSTOM,228
104.18.241.67,31.68,0.00,8.59,US,CLOUDFLARE,229
104.21.228.60,32.50,0.00,16.50,US,CUSTOM,230
104.21.236.214,32.66,0.00,8.90,US,CUSTOM,231
104.21.225.111,38.25,0.00,12.68,US,CUSTOM,232
203.30.190.116,44.39,0.00,9.26,CY,CUSTOM,233
172.64.101.9,45.43,0.00,10.57,US,CUSTOM,234
