目标,平均延迟(ms),最小延迟(ms),丢包率(%),速度(Mbps),国家代码,国家名称,ISP,注释
173.245.59.69:443,5.13,4.93,0.00,30.21,CA,加拿大·CA,Cloudflare,
162.159.25.205:443,5.16,5.01,0.00,37.20,CA,加拿大·CA,Cloudflare,
198.41.223.239:443,5.18,4.96,0.00,29.54,CA,加拿大·CA,Cloudflare,
162.159.4.73:443,5.19,5.10,0.00,25.50,CA,加拿大·CA,Cloudflare,
108.162.195.80:443,5.19,5.14,0.00,39.72,CA,加拿大·CA,Cloudflare,
162.159.43.169:443,5.19,5.09,0.00,41.52,CA,加拿大·CA,Cloudflare,
162.159.2.35:443,5.20,5.09,0.00,25.82,CA,加拿大·CA,Cloudflare,
172.64.48.37:443,5.21,5.01,0.00,41.55,CA,加拿大·CA,Cloudflare,
135.84.74.167:443,5.21,5.15,0.00,41.50,US,美国·US,Cloudflare,
104.26.6.62:443,5.21,5.14,0.00,37.91,CA,加拿大·CA,Cloudflare,
104.26.5.134:443,5.21,5.15,0.00,31.89,CA,加拿大·CA,Cloudflare,
104.19.41.196:443,5.22,4.92,0.00,31.07,CA,加拿大·CA,Cloudflare,
198.41.223.222:443,5.22,4.96,0.00,31.90,CA,加拿大·CA,Cloudflare,
108.162.192.26:443,5.22,4.95,0.00,34.48,CA,加拿大·CA,Cloudflare,
104.26.14.142:443,5.22,5.02,0.00,23.92,CA,加拿大·CA,Cloudflare,
172.67.65.8:443,5.23,5.13,0.00,48.51,CA,加拿大·CA,Cloudflare,
172.67.65.212:443,5.23,5.04,0.00,33.23,CA,加拿大·CA,Cloudflare,
162.159.25.155:443,5.23,5.02,0.00,43.39,CA,加拿大·CA,Cloudflare,
108.162.195.243:443,5.23,5.14,0.00,43.80,CA,加拿大·CA,Cloudflare,
172.64.158.52:443,5.24,5.13,0.00,45.41,CA,加拿大·CA,Cloudflare,
198.41.223.22:443,5.24,5.17,0.00,30.15,CA,加拿大·CA,Cloudflare,
162.159.16.217:443,5.24,4.99,0.00,41.61,CA,加拿大·CA,Cloudflare,
108.162.195.7:443,5.25,5.14,0.00,38.29,CA,加拿大·CA,Cloudflare,
162.159.16.199:443,5.25,5.10,0.00,31.15,CA,加拿大·CA,Cloudflare,
209.94.90.233:443,5.26,5.03,0.00,48.13,US,美国·US,Cloudflare,
162.159.46.214:443,5.26,5.02,0.00,24.60,CA,加拿大·CA,Cloudflare,
173.245.59.175:443,5.26,5.11,0.00,37.06,CA,加拿大·CA,Cloudflare,
162.159.25.109:443,5.26,5.07,0.00,23.13,CA,加拿大·CA,Cloudflare,
198.41.223.31:443,5.26,5.05,0.00,43.47,CA,加拿大·CA,Cloudflare,
104.26.14.224:443,5.26,5.16,0.00,36.95,CA,加拿大·CA,Cloudflare,
162.159.25.73:443,5.26,5.13,0.00,41.35,CA,加拿大·CA,Cloudflare,
162.159.16.20:443,5.26,4.86,0.00,22.98,CA,加拿大·CA,Cloudflare,
104.18.41.93:443,5.27,5.05,0.00,43.65,CA,加拿大·CA,Cloudflare,
104.17.102.229:443,5.27,5.09,0.00,36.81,CA,加拿大·CA,Cloudflare,
104.25.252.59:443,5.27,5.09,0.00,37.70,CA,加拿大·CA,Cloudflare,
8.35.211.131:443,5.27,5.02,0.00,24.06,US,美国·US,Cloudflare,
69.84.182.83:443,5.27,5.06,0.00,28.72,US,美国·US,Cloudflare,
172.64.150.76:443,5.28,5.09,0.00,33.25,CA,加拿大·CA,Cloudflare,
173.245.58.171:443,5.28,5.07,0.00,32.75,CA,加拿大·CA,Cloudflare,
104.19.32.133:443,5.28,5.09,0.00,34.19,CA,加拿大·CA,Cloudflare,
172.64.93.112:443,5.28,5.05,0.00,29.78,CA,加拿大·CA,Cloudflare,
162.159.43.5:443,5.28,5.16,0.00,35.88,CA,加拿大·CA,Cloudflare,
104.25.141.233:443,5.28,5.06,0.00,27.66,CA,加拿大·CA,Cloudflare,
162.159.2.168:443,5.28,5.08,0.00,47.95,CA,加拿大·CA,Cloudflare,
162.159.4.165:443,5.28,5.15,0.00,34.23,CA,加拿大·CA,Cloudflare,
108.162.195.79:443,5.28,5.08,0.00,24.14,US,美国·US,Cloudflare,
104.19.52.63:443,5.28,5.07,0.00,31.72,US,美国·US,Cloudflare,
172.64.53.112:443,5.28,5.03,0.00,32.63,US,美国·US,Cloudflare,
172.64.147.139:443,5.29,5.23,0.00,32.43,US,美国·US,Cloudflare,
162.159.43.72:443,5.29,5.03,0.00,40.62,US,美国·US,Cloudflare,
172.64.53.197:443,5.29,5.23,0.00,28.77,US,美国·US,Cloudflare,
162.159.25.174:443,5.29,5.14,0.00,41.70,US,美国·US,Cloudflare,
104.26.14.139:443,5.29,5.00,0.00,27.27,US,美国·US,Cloudflare,
27.50.48.74:443,5.29,5.11,0.00,34.90,HK,香港·HK,Cloudflare,
104.26.14.251:443,5.29,5.16,0.00,37.73,US,美国·US,Cloudflare,
173.245.59.209:443,5.30,5.08,0.00,42.75,US,美国·US,Cloudflare,
162.159.43.105:443,5.30,5.04,0.00,40.49,US,美国·US,Cloudflare,
172.64.48.84:443,5.30,5.06,0.00,30.59,US,美国·US,Cloudflare,
172.64.53.23:443,5.30,5.05,0.00,44.96,US,美国·US,Cloudflare,
198.41.223.212:443,5.30,5.17,0.00,45.09,US,美国·US,Cloudflare,
162.159.16.197:443,5.30,5.03,0.00,30.18,US,美国·US,Cloudflare,
104.18.41.232:443,5.30,5.16,0.00,34.80,US,美国·US,Cloudflare,
104.19.221.87:443,5.30,5.00,0.00,25.60,US,美国·US,Cloudflare,
172.67.158.174:443,5.30,5.00,0.00,25.98,US,美国·US,Cloudflare,
172.64.150.150:443,5.30,5.11,0.00,29.39,US,美国·US,Cloudflare,
108.162.198.41:443,5.30,5.01,0.00,44.43,US,美国·US,Cloudflare,
173.245.59.55:443,5.30,5.17,0.00,23.35,US,美国·US,Cloudflare,
108.162.198.142:443,5.30,5.24,0.00,28.19,US,美国·US,Cloudflare,
